[IP]::1[20-09-2015 11:06:52] GET localhost/telkom/api_login?
[IP]::1[20-09-2015 11:10:29] POST localhost/telkom/api_login?tag=getallkeluhan
[IP]127.0.0.1[20-09-2015 11:27:59] POST 10.0.2.2/telkom/api_login?tag=login&username=merita&password=123
[IP]127.0.0.1[20-09-2015 11:29:08] POST 10.0.2.2/telkom/api_login?tag=login&username=merita&password=123
[IP]127.0.0.1[20-09-2015 11:29:13] POST 10.0.2.2/telkom/api_login?tag=getallkeluhan
[IP]127.0.0.1[20-09-2015 11:35:12] POST 10.0.2.2/telkom/api_login?tag=login&username=merita&password=123
[IP]127.0.0.1[20-09-2015 11:35:18] POST 10.0.2.2/telkom/api_login?tag=getallkeluhan
[IP]127.0.0.1[20-09-2015 11:39:42] POST 10.0.2.2/telkom/api_login?tag=login&username=merita&password=123
[IP]127.0.0.1[20-09-2015 11:39:48] POST 10.0.2.2/telkom/api_login?tag=getallkeluhan
[IP]127.0.0.1[20-09-2015 11:53:46] POST 10.0.2.2/telkom/api_login?tag=login&username=merita&password=123
[IP]127.0.0.1[20-09-2015 11:53:53] POST 10.0.2.2/telkom/api_login?tag=getallkeluhan
[IP]127.0.0.1[20-09-2015 13:00:23] POST 10.0.2.2/telkom/api_login?tag=login&username=merita&password=123
[IP]127.0.0.1[20-09-2015 13:00:30] POST 10.0.2.2/telkom/api_login?tag=getallkeluhan
[IP]127.0.0.1[20-09-2015 13:42:57] POST 10.0.2.2/telkom/api_login?tag=login&username=merita&password=123
[IP]127.0.0.1[20-09-2015 13:43:06] POST 10.0.2.2/telkom/api_login?tag=getallkeluhan
[IP]127.0.0.1[20-09-2015 13:48:39] POST 10.0.2.2/telkom/api_login?tag=login&username=syahril&password=123
[IP]127.0.0.1[20-09-2015 13:48:48] POST 10.0.2.2/telkom/api_login?tag=getpelanggan&nomerid=1
[IP]127.0.0.1[20-09-2015 13:49:03] POST 10.0.2.2/telkom/api_login?tag=keluhanbyid&nomerid=1
[IP]127.0.0.1[20-09-2015 13:49:16] POST 10.0.2.2/telkom/api_login?tag=getpelanggan&nomerid=1
[IP]127.0.0.1[20-09-2015 14:55:04] POST 10.0.2.2/telkom/api_login?tag=login&username=syahril&password=123
[IP]127.0.0.1[20-09-2015 14:55:11] POST 10.0.2.2/telkom/api_login?tag=getpelanggan&nomerid=1
[IP]127.0.0.1[20-09-2015 14:55:24] POST 10.0.2.2/telkom/api_login?tag=jeniskeluhan
[IP]127.0.0.1[20-09-2015 14:56:17] POST 10.0.2.2/telkom/api_login?tag=inputkeluhan&jenis=Speedy+putus-putus&keluhan=speey+putus+terus+nih+payah&idpelanggan=1
[IP]127.0.0.1[20-09-2015 14:56:24] POST 10.0.2.2/telkom/api_login?tag=getpelanggan&nomerid=1
[IP]127.0.0.1[20-09-2015 14:59:09] POST 10.0.2.2/telkom/api_login?tag=jeniskeluhan
[IP]127.0.0.1[20-09-2015 14:59:45] POST 10.0.2.2/telkom/api_login?tag=inputkeluhan&jenis=Speedy+putus-putus&keluhan=spededy+putus+terus+nih+payah&idpelanggan=1
[IP]127.0.0.1[20-09-2015 14:59:50] POST 10.0.2.2/telkom/api_login?tag=getpelanggan&nomerid=1
[IP]::1[20-09-2015 15:09:32] POST localhost/telkom/api_login?tag=inputkeluhan&idpelanggan=1&keluhan=roset+rusak
